,date,username,tweet,hashtags
90,2022-12-29 13:35:28,DyllaYulianty,KUHP Pasal 263 Ayat 1 tentang pidana penyebar berita bohong  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/Z18UX7VPcI,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
91,2022-12-29 13:35:23,DyllaYulianty,KUHP baru tidak untuk bungkam demokrasi  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/qpfUWFiEQm,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
92,2022-12-29 13:35:18,DyllaYulianty,Pasal zina di KUHP tak bakal pengaruhi pariwisata RI  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/5quddadmDA,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
93,2022-12-29 13:35:15,Nova5V,"@stephan_gin Dukung pengesahan KUHP, sebagai langkah besar Indonesia dalam melakukan reformasi hukum pidana.",[]
94,2022-12-29 13:35:09,DyllaYulianty,KUHP baru tidak melanggar HAM  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/k2Gg1RWeLO,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
95,2022-12-29 13:35:05,Nova5V,"@Evelia21478796 Dukung pengesahan KUHP, sebagai langkah besar Indonesia dalam melakukan reformasi hukum pidana.",[]
96,2022-12-29 13:33:00,hanifaisma,KUHP Pasal 263 Ayat 1 tentang pidana penyebar berita bohong  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/R9KO7AG7NQ,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
97,2022-12-29 13:32:51,hanifaisma,KUHP baru tidak untuk bungkam demokrasi  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/TYKNt1O13E,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
98,2022-12-29 13:32:45,hanifaisma,Pasal zina di KUHP tak bakal pengaruhi pariwisata RI  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/P1Ys02dChO,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
99,2022-12-29 13:32:32,hanifaisma,KUHP baru tidak melanggar HAM  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/ToF0CSsf8a,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
